product_id,coast_layer_observed,anchorage_layer_observed,fairway_layer_observed
S1A_IW_GRDH_1SDV_20250422T095504_20250422T095529_058868_074BDE_2A15,1,0,0
S1A_IW_GRDH_1SDV_20250504T095504_20250504T095529_059043_0752E1_E126,1,0,0
S1A_IW_GRDH_1SDV_20250516T095504_20250516T095529_059218_07592B_0FC8,1,0,0
S1A_IW_GRDH_1SDV_20250528T095503_20250528T095528_059393_075F43_DC80,1,0,0
S1A_IW_GRDH_1SDV_20250609T095503_20250609T095528_059568_07653B_1E66,1,0,0
S1A_IW_GRDH_1SDV_20250621T095502_20250621T095527_059743_076B46_2434,1,0,0
S1A_IW_GRDH_1SDV_20250715T095501_20250715T095526_060093_077760_4889,1,0,0
S1A_IW_GRDH_1SDV_20250727T095501_20250727T095526_060268_077D68_FED2,1,0,0
S1A_IW_GRDH_1SDV_20250808T095500_20250808T095525_060443_078391_5813,1,0,0
S1A_IW_GRDH_1SDV_20250820T095500_20250820T095525_060618_078A74_9040,1,0,0
S1A_IW_GRDH_1SDV_20250913T095501_20250913T095526_060968_07985B_0B8B,1,0,0
S1A_IW_GRDH_1SDV_20250925T095501_20250925T095526_061143_079F62_43F4,1,0,0
S1A_IW_GRDH_1SDV_20251007T095502_20251007T095527_061318_07A66F_9734,1,0,0
S1A_IW_GRDH_1SDV_20251019T095501_20251019T095526_061493_07AD75_C893,1,0,0
S1A_IW_GRDH_1SDV_20251031T095501_20251031T095526_061668_07B482_E582,1,0,0
S1A_IW_GRDH_1SDV_20251112T095500_20251112T095525_061843_07BB43_791B,1,0,0
S1A_IW_GRDH_1SDV_20251124T095500_20251124T095525_062018_07C214_828E,1,0,0
S1A_IW_GRDH_1SDV_20251206T095458_20251206T095523_062193_07C8EB_18F6,1,0,0
S1A_IW_GRDH_1SDV_20251218T095457_20251218T095522_062368_07CFBE_85B2,1,0,0
S1A_IW_GRDH_1SDV_20251230T095456_20251230T095521_062543_07D685_E32F,1,0,0
S1A_IW_GRDH_1SDV_20250105T224813_20250105T224838_057315_070D6B_4F1E,1,0,1
S1A_IW_GRDH_1SDV_20250117T224812_20250117T224837_057490_071459_C3D3,1,0,1
S1A_IW_GRDH_1SDV_20250210T224811_20250210T224836_057840_072244_0469,1,0,1
