mmsi,ais_rows,final_class,class_level,source,confidence,type_code,imo,vessel_kind,registry_type,flag,name,note
367303080,297,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
367303910,492,,unknown,needs_manual,none,99,,ship,,,,coarse_type_only
367307280,82,passenger_ship,fine,rule_validated,medium,60,,ship,,,,purity 0.917 support 1455
367311490,1881,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
367312634,1,,unknown,needs_manual,none,,,ship,,,,absent_from_mapping
367312950,101,,unknown,needs_manual,none,,,ship,,,,no_usable_type
367313170,23,fishing_vessel,fine,bundle_ais_type_code,high,30,,,,,,coarse_type_only
367313760,376,,unknown,needs_manual,none,90,,ship,,,,no_usable_type
367314420,89,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,coarse_type_only
367316740,56,,unknown,needs_manual,none,90,,ship,,,,coarse_type_only
367323170,42,,unknown,needs_manual,none,99,1097357,ship,,,,coarse_type_only
367324660,38,fishing_vessel,fine,bundle_ais_type_code,high,30,,,,,,coarse_type_only
367327630,171,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,coarse_type_only
367331330,56,fishing_vessel,fine,bundle_ais_type_code,high,30,,,,,,coarse_type_only
367332830,37,cargo_coarse,coarse,coarse_type_code,coarse,70,,ship,,,,AIS type code 70 (coarse family only)
367332840,14,cargo_coarse,coarse,coarse_type_code,coarse,70,,ship,,,,AIS type code 70 (coarse family only)
367332930,860,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
367332950,1095,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
367334150,25,sailing_vessel,fine,bundle_ais_type_code,high,36,,,,,,coarse_type_only
